record_id,municipality,category,name,address,lat,lng,coordinateSource,toiletLocation,floor,insideOutside,gateStatus,openingHours,wheelchair,ostomate,babyChangingTable,babyChair,largeBed,handrail,emergencyButton,powderRoom,freeUse,generalPublicUse,imageUrl,imageSourceUrl,imageType,imageLicense,sourceUrl,sourceType,verificationStatus,researchNote
GS-TK-002512,葛飾区,PUBLIC,東水元みどり公園,東京都葛飾区東水元1-7-19東水元みどり公園 東水元みどり公園,35.778444,139.867932,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002513,葛飾区,PUBLIC,東水元公園,東京都葛飾区東水元2-8-6東水元公園 東水元公園,35.777817,139.870577,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002514,葛飾区,PUBLIC,東立石緑地公園,東京都葛飾区東立石4-6-10東立石緑地公園 東立石緑地公園,35.732331,139.853085,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002515,葛飾区,PUBLIC,袋橋公園,東京都葛飾区小菅4-15-1袋橋公園 袋橋公園,35.760623,139.825754,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002516,葛飾区,PUBLIC,藤塚西公園,東京都葛飾区西亀有3-3-8藤塚西公園 藤塚西公園,35.760614,139.837631,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002517,葛飾区,PUBLIC,藤塚東公園,東京都葛飾区西亀有3-16-1藤塚東公園 藤塚東公園,35.760427,139.838447,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002519,葛飾区,PUBLIC,細田三丁目せせらぎ公園,東京都葛飾区細田3-19-11細田三丁目せせらぎ公園 細田三丁目せせらぎ公園,35.741961,139.869443,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002520,葛飾区,PUBLIC,堀切公園,東京都葛飾区堀切1-27-10堀切公園 堀切公園,35.741126,139.830754,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002521,葛飾区,PUBLIC,堀切菖蒲園（西側）,東京都葛飾区堀切2-19-1堀切菖蒲園（西側） 堀切菖蒲園（西側）,35.742622,139.825825,official,,,,,,あり,あり,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002522,葛飾区,PUBLIC,堀切菖蒲園（東側）,東京都葛飾区堀切2-19-1堀切菖蒲園（東側） 堀切菖蒲園（東側）,35.742622,139.825825,official,,,,,,あり,あり,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002523,葛飾区,PUBLIC,堀切水辺公園,東京都葛飾区堀切1-12地先堀切水辺公園 地先堀切水辺公園,35.740692,139.825986,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002524,葛飾区,PUBLIC,堀切東公園,東京都葛飾区堀切3-31-18堀切東公園 堀切東公園,35.744411,139.833152,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
